block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.650636086679,0.194853382548083,0.150636086678969,0.152624056763061,0.246290623655029,25,25,0,0.150636086678969,0.150636086678969
2,1,2,12,25,0,12.036980122089,0.152166991353863,0.0369801220890158,0.100510564759649,0.156596049399099,25,25,0,0.0369801220890158,0.0369801220890158
3,1,3,11.5,25,0,11.5440101042507,0.215473842825922,0.0440101042506591,0.164143247421992,0.219922409541011,25,25,0,0.0440101042506591,0.0440101042506591
4,1,4,11,25,0,10.7916820963241,0.188640783595733,-0.208317903675909,0.259843132229924,0.281036820056621,25,25,0,-0.208317903675909,0.208317903675909
5,1,5,10.5,25,0,10.2483687794768,0.120403131592706,-0.25163122052324,0.27544501836032,0.278953733151836,25,25,0,-0.25163122052324,0.25163122052324
6,1,6,10,24,1,9.53062966496798,0.246154947768973,-0.469370335032025,0.483202322576337,0.530000726149711,25,25,0,-0.469370335032025,0.469370335032025
7,2,1,9.5,25,0,9.7665458567379,0.219461080770247,0.266545856737902,0.29964352982138,0.34526780868912,25,25,0,0.266545856737902,0.266545856737902
8,2,2,9,25,0,9.03305348942634,0.211762322930542,0.0330534894263429,0.115633368807068,0.214326420620969,25,25,0,0.0330534894263429,0.0330534894263429
9,2,3,8.5,25,0,8.53953676359323,0.159454498560739,0.039536763593228,0.0768282435287027,0.164282965601074,25,25,0,0.039536763593228,0.039536763593228
10,2,4,8,25,0,8.0169198023971,0.144854061893263,0.0169198023970989,0.106433025364535,0.145838880138782,25,25,0,0.0169198023970989,0.0169198023970989
11,2,5,7.5,25,0,7.59694082326799,0.256386389178991,0.0969408232679887,0.22911494297728,0.274101265542712,25,25,0,0.0969408232679887,0.0969408232679887
12,2,6,7,25,0,6.6787616259656,0.174362877399861,-0.3212383740344,0.3212383740344,0.365508557994781,25,25,0,-0.3212383740344,0.3212383740344
13,3,1,6.5,25,0,6.73908542541674,0.275364670222269,0.239085425416743,0.293705366937179,0.364674570340906,25,25,0,0.239085425416743,0.239085425416743
14,3,2,6,24,1,6.1117448979707,0.336671134292716,0.111744897970699,0.301938369539072,0.354731412322656,25,25,0,0.111744897970699,0.111744897970699
15,3,3,5.5,25,0,5.69144549927108,0.205357707571709,0.19144549927108,0.2655988871434,0.280754638875764,25,25,0,0.19144549927108,0.19144549927108
16,3,4,5,25,0,5.04869064855521,0.243110882600108,0.0486906485552081,0.235171893263112,0.247938864430993,25,25,0,0.0486906485552081,0.0486906485552081
17,3,5,4.5,25,0,4.42039750185056,0.0145135118560598,-0.0796024981494377,0.0796024981494377,0.0809147683555185,25,25,0,-0.0796024981494377,0.0796024981494377
18,3,6,4,25,0,3.93675402585943,0.257487005590017,-0.063245974140571,0.158835133425878,0.265140738651576,25,25,0,-0.063245974140571,0.063245974140571
19,4,1,3.5,23,2,3.93785480223744,0.301366871322621,0.437854802237437,0.437854802237437,0.53154380720047,25,25,0,0.437854802237437,0.437854802237437
20,4,2,3,25,0,3.19474293978936,0.200211285159421,0.194742939789357,0.261050774686722,0.279301577695129,25,25,0,0.194742939789357,0.194742939789357
21,4,3,2.5,25,0,2.72965574441444,0.184683902131053,0.229655744414437,0.291064052007684,0.294703078791012,25,25,0,0.229655744414437,0.229655744414437
22,4,4,2,25,0,2.13476321528822,0.251989887180265,0.13476321528822,0.245831454950373,0.285762186854632,25,25,0,0.13476321528822,0.13476321528822
23,4,5,1.5,25,0,1.53394106713181,0.369877736159769,0.0339410671318108,0.210799745970599,0.371431737664839,25,25,0,0.0339410671318108,0.0339410671318108
24,4,6,1,23,2,1.06470701390596,0.455301463493793,0.0647070139059629,0.38517368148869,0.459876527242059,25,25,0,0.0647070139059629,0.0647070139059629
