distance_cm,scene_type,paired_requested_frames,marker_solved_frames,sift_solved_frames,both_solved_frames,marker_only_solved_frames,sift_only_solved_frames,neither_solved_frames,marker_success_rate_percent,sift_success_rate_percent,sift_feature_supported_frames,sift_joint_refined_frames,sift_reliable_frames,rotation_error_deg_paired_count,rotation_error_deg_marker_median,rotation_error_deg_sift_median,rotation_error_deg_sift_improvement_median,rotation_error_deg_sift_win_rate_percent,absolute_baseline_delta_mm_paired_count,absolute_baseline_delta_mm_marker_median,absolute_baseline_delta_mm_sift_median,absolute_baseline_delta_mm_sift_improvement_median,absolute_baseline_delta_mm_sift_win_rate_percent,absolute_baseline_error_percent_paired_count,absolute_baseline_error_percent_marker_median,absolute_baseline_error_percent_sift_median,absolute_baseline_error_percent_sift_improvement_median,absolute_baseline_error_percent_sift_win_rate_percent
16.3,object_in_roi,300,300,300,300,0,0,0,100.0,100.0,300,253,300,300,1.9056089398202984,0.8613440977892854,0.9814275412364619,92.66666666666666,300,10.030235492065948,5.887795232431902,3.518406299865905,92.66666666666666,300,16.220107691097915,9.521279217095218,5.689689851250714,92.66666666666666
16.3,ALL,300,300,300,300,0,0,0,100.0,100.0,300,253,300,300,1.9056089398202984,0.8613440977892854,0.9814275412364619,92.66666666666666,300,10.030235492065948,5.887795232431902,3.518406299865905,92.66666666666666,300,16.220107691097915,9.521279217095218,5.689689851250714,92.66666666666666
ALL,object_in_roi,300,300,300,300,0,0,0,100.0,100.0,300,253,300,300,1.9056089398202984,0.8613440977892854,0.9814275412364619,92.66666666666666,300,10.030235492065948,5.887795232431902,3.518406299865905,92.66666666666666,300,16.220107691097915,9.521279217095218,5.689689851250714,92.66666666666666
ALL,ALL,300,300,300,300,0,0,0,100.0,100.0,300,253,300,300,1.9056089398202984,0.8613440977892854,0.9814275412364619,92.66666666666666,300,10.030235492065948,5.887795232431902,3.518406299865905,92.66666666666666,300,16.220107691097915,9.521279217095218,5.689689851250714,92.66666666666666
