block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.3212791250843,0.217693252256062,-0.178720874915747,0.231182775839389,0.281658486839065,25,25,0,-0.178720874915747,0.178720874915747
2,1,2,12,25,0,11.6635626283927,0.240870480736263,-0.336437371607287,0.362248842357026,0.413773722587767,25,25,0,-0.336437371607287,0.336437371607287
3,1,3,11.5,25,0,11.4796769657327,0.226704131826987,-0.0203230342673027,0.215423403530216,0.227613244582247,25,25,0,-0.0203230342673027,0.0203230342673027
4,1,4,11,25,0,10.8939073271267,0.182334492767299,-0.106092672873302,0.204742065179307,0.21095383971407,25,25,0,-0.106092672873302,0.106092672873302
5,1,5,10.5,25,0,10.4755418250164,0.183763767575704,-0.0244581749835811,0.163251066461434,0.185384261999623,25,25,0,-0.0244581749835811,0.0244581749835811
6,1,6,10,25,0,9.9385479248932,0.237956795616925,-0.0614520751068032,0.156814021172752,0.245763695681863,25,25,0,-0.0614520751068032,0.0614520751068032
7,2,1,9.5,25,0,9.40411273155947,0.170142260627701,-0.095887268440526,0.177930853499739,0.195301707879092,25,25,0,-0.095887268440526,0.095887268440526
8,2,2,9,25,0,8.95438188060285,0.216164514075369,-0.0456181193971519,0.155307102591133,0.220925575619423,25,25,0,-0.0456181193971519,0.0456181193971519
9,2,3,8.5,25,0,8.53680071060033,0.13630578391792,0.0368007106003316,0.0787574524805838,0.14118625652013,25,25,0,0.0368007106003316,0.0368007106003316
10,2,4,8,25,0,8.01475830800174,0.171760324009725,0.0147583080017384,0.131111758063304,0.172393203343403,25,25,0,0.0147583080017384,0.0147583080017384
11,2,5,7.5,25,0,7.48447800235168,0.259544446027076,-0.0155219976483231,0.250630344616545,0.260008176553154,25,25,0,-0.0155219976483231,0.0155219976483231
12,2,6,7,25,0,6.82775801924376,0.0486453400242602,-0.172241980756239,0.172241980756239,0.178979521289192,25,25,0,-0.172241980756239,0.172241980756239
13,3,1,6.5,25,0,6.52206738572238,0.282273650955386,0.0220673857223833,0.22374253805406,0.283134921082341,25,25,0,0.0220673857223833,0.0220673857223833
14,3,2,6,25,0,6.07835315489144,0.35711452282813,0.0783531548914407,0.245990107178866,0.365609079887529,25,25,0,0.0783531548914407,0.0783531548914407
15,3,3,5.5,25,0,5.58000432498522,0.164105319234806,0.0800043249852235,0.139973846650908,0.182568474325385,25,25,0,0.0800043249852235,0.0800043249852235
16,3,4,5,25,0,4.92859639605086,0.242726474770225,-0.0714036039491407,0.24604501620104,0.253011098988378,25,25,0,-0.0714036039491407,0.0714036039491407
17,3,5,4.5,25,0,4.50626661023603,0.286209420705796,0.00626661023603042,0.235658716081552,0.286278016802893,25,25,0,0.00626661023603042,0.00626661023603042
18,3,6,4,24,1,3.99588754008766,0.045514544249562,-0.00411245991233663,0.0384279628590918,0.0456999569450116,25,25,0,-0.00411245991233663,0.00411245991233663
19,4,1,3.5,25,0,3.65133968321021,0.237602988343608,0.151339683210208,0.275789587454667,0.281707081529696,25,25,0,0.151339683210208,0.151339683210208
20,4,2,3,25,0,2.96118186006649,0.255111759072585,-0.0388181399335124,0.200414578544047,0.25804816915647,25,25,0,-0.0388181399335124,0.0388181399335124
21,4,3,2.5,25,0,2.5293824616899,0.185337621745579,0.0293824616898965,0.0975527916092693,0.187652239766185,25,25,0,0.0293824616898965,0.0293824616898965
22,4,4,2,25,0,1.95707243824546,0.248097470828242,-0.0429275617545443,0.222706292717337,0.251783896604927,25,25,0,-0.0429275617545443,0.0429275617545443
23,4,5,1.5,25,0,1.42827390950746,0.270262890327134,-0.0717260904925412,0.271094555281693,0.279618779672111,25,25,0,-0.0717260904925412,0.0717260904925412
24,4,6,1,23,2,1.09370842597302,0.603339965715532,0.0937084259730159,0.275074704709773,0.610573814806989,25,25,0,0.0937084259730159,0.0937084259730159
