block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,9.79101091304985,1.82569198332488,-2.70898908695015,2.7395612790039,3.26676798857705,25,25,0,-2.70898908695015,2.70898908695015
2,1,2,12,25,0,8.2486745514544,3.81677226639624,-3.7513254485456,3.81742749445565,5.35165331037403,25,25,0,-3.7513254485456,3.7513254485456
3,1,3,11.5,25,0,12.3259357287898,2.08321316957011,0.82593572878983,1.68767427777539,2.24097008859153,25,25,0,0.82593572878983,0.82593572878983
4,1,4,11,25,0,10.976230736818,1.11688697470529,-0.023769263182002,0.816409836820224,1.11713987134044,25,25,0,-0.023769263182002,0.023769263182002
5,1,5,10.5,20,5,10.7982507083315,1.04977118291983,0.298250708331484,0.925952416520323,1.09131710401199,25,25,0,0.298250708331484,0.298250708331484
6,1,6,10,0,25,,,,,,25,25,0,,
7,2,1,9.5,25,0,7.20278004538921,1.52963294733147,-2.29721995461079,2.40536221512436,2.75989066330968,25,25,0,-2.29721995461079,2.29721995461079
8,2,2,9,25,0,7.405852762562,1.13309954263593,-1.594147237438,1.594147237438,1.95581696182259,25,25,0,-1.594147237438,1.594147237438
9,2,3,8.5,25,0,10.6106589441747,1.21539025287367,2.11065894417466,2.14660250891907,2.43558096671098,25,25,0,2.11065894417466,2.11065894417466
10,2,4,8,25,0,9.14754850440685,1.17414434388415,1.14754850440685,1.26030684089776,1.64179246868828,25,25,0,1.14754850440685,1.14754850440685
11,2,5,7.5,25,0,6.59571585322142,0.396881127131406,-0.904284146778582,0.904284146778582,0.987544655794442,25,25,0,-0.904284146778582,0.904284146778582
12,2,6,7,20,5,5.8775361027491,2.06343078209681,-1.1224638972509,1.93763603635681,2.34897249731374,25,25,0,-1.1224638972509,1.1224638972509
13,3,1,6.5,25,0,6.4039419928801,0.934626652912081,-0.0960580071198966,0.705712739633838,0.939549956663022,25,25,0,-0.0960580071198966,0.0960580071198966
14,3,2,6,25,0,4.15795707669682,0.696661225363584,-1.84204292330318,1.84204292330318,1.96938035793404,25,25,0,-1.84204292330318,1.84204292330318
15,3,3,5.5,25,0,4.80644277389615,1.02290777207624,-0.693557226103848,0.924187718227827,1.23586485347502,25,25,0,-0.693557226103848,0.693557226103848
16,3,4,5,25,0,4.13364543970934,1.22300762227935,-0.866354560290664,1.34998255056312,1.49877212020034,25,25,0,-0.866354560290664,0.866354560290664
17,3,5,4.5,25,0,3.42286269759859,1.04084988630265,-1.07713730240141,1.2165622336722,1.49786289560855,25,25,0,-1.07713730240141,1.07713730240141
18,3,6,4,22,3,2.58282463456828,1.20594057438892,-1.41717536543172,1.49090987795925,1.86082741954863,25,25,0,-1.41717536543172,1.41717536543172
19,4,1,3.5,25,0,2.43370852602314,1.55397736352127,-1.06629147397686,1.42486533163468,1.88462812082709,25,25,0,-1.06629147397686,1.06629147397686
20,4,2,3,24,1,0.749163692649824,1.24322258127007,-2.25083630735018,2.25945658766594,2.57135498697974,25,25,0,-2.25083630735018,2.25083630735018
21,4,3,2.5,24,1,1.70815555584465,1.46387264410699,-0.791844444155353,1.34151065128284,1.66431389524467,25,25,0,-0.791844444155353,0.791844444155353
22,4,4,2,25,0,-1.21962722400715,1.20800068826601,-3.21962722400715,3.21962722400715,3.43878832213022,25,25,0,-3.21962722400715,3.21962722400715
23,4,5,1.5,25,0,-1.5854838018222,2.70393130049518,-3.0854838018222,3.0854838018222,4.10261560094347,25,25,0,-3.0854838018222,3.0854838018222
24,4,6,1,14,11,1.06570213224923,2.01343578317392,0.0657021322492323,1.48021735418488,2.01450748897771,25,25,0,0.0657021322492323,0.0657021322492323
